,Event,Site,Date,Round,White,Black,Result,ECO,EventDate
422,World Championship 21th,Moscow RUS,1957.04.04,13,"Botvinnik, Mikhail M","Smyslov, Vassily V",1-0,E45,1957.03.05
423,World Championship 21th,Moscow RUS,1957.04.06,14,"Smyslov, Vassily V","Botvinnik, Mikhail M",1/2-1/2,C18,1957.03.05
424,World Championship 21th,Moscow RUS,1957.04.09,15,"Botvinnik, Mikhail M","Smyslov, Vassily V",1/2-1/2,E45,1957.03.05
425,World Championship 21th,Moscow RUS,1957.04.11,16,"Smyslov, Vassily V","Botvinnik, Mikhail M",1/2-1/2,C98,1957.03.05
426,World Championship 21th,Moscow RUS,1957.04.13,17,"Botvinnik, Mikhail M","Smyslov, Vassily V",0-1,D73,1957.03.05
427,World Championship 21th,Moscow RUS,1957.04.18,18,"Smyslov, Vassily V","Botvinnik, Mikhail M",1/2-1/2,C15,1957.03.05
428,World Championship 21th,Moscow RUS,1957.04.20,19,"Botvinnik, Mikhail M","Smyslov, Vassily V",1/2-1/2,A36,1957.03.05
429,World Championship 21th,Moscow RUS,1957.04.23,20,"Smyslov, Vassily V","Botvinnik, Mikhail M",1-0,C18,1957.03.05
430,World Championship 21th,Moscow RUS,1957.04.25,21,"Botvinnik, Mikhail M","Smyslov, Vassily V",1/2-1/2,D79,1957.03.05
431,World Championship 21th,Moscow RUS,1957.04.27,22,"Smyslov, Vassily V","Botvinnik, Mikhail M",1/2-1/2,C11,1957.03.05
432,World Championship 22th,Moscow RUS,1958.03.04,1,"Smyslov, Vassily V","Botvinnik, Mikhail M",0-1,B11,1958.03.04
433,World Championship 22th,Moscow RUS,1958.03.06,2,"Botvinnik, Mikhail M","Smyslov, Vassily V",1-0,E81,1958.03.04
434,World Championship 22th,Moscow RUS,1958.03.11,3,"Smyslov, Vassily V","Botvinnik, Mikhail M",0-1,B19,1958.03.04
435,World Championship 22th,Moscow RUS,1958.03.13,4,"Botvinnik, Mikhail M","Smyslov, Vassily V",1/2-1/2,D98,1958.03.04
436,World Championship 22th,Moscow RUS,1958.03.18,5,"Smyslov, Vassily V","Botvinnik, Mikhail M",1-0,B72,1958.03.04
437,World Championship 22th,Moscow RUS,1958.03.20,6,"Botvinnik, Mikhail M","Smyslov, Vassily V",1-0,E81,1958.03.04
438,World Championship 22th,Moscow RUS,1958.03.22,7,"Smyslov, Vassily V","Botvinnik, Mikhail M",1/2-1/2,B72,1958.03.04
439,World Championship 22th,Moscow RUS,1958.03.25,8,"Botvinnik, Mikhail M","Smyslov, Vassily V",1/2-1/2,E69,1958.03.04
440,World Championship 22th,Moscow RUS,1958.03.27,9,"Smyslov, Vassily V","Botvinnik, Mikhail M",1/2-1/2,B72,1958.03.04
441,World Championship 22th,Moscow RUS,1958.03.29,10,"Botvinnik, Mikhail M","Smyslov, Vassily V",1/2-1/2,A16,1958.03.04
442,World Championship 22th,Moscow RUS,1958.04.01,11,"Smyslov, Vassily V","Botvinnik, Mikhail M",1-0,D99,1958.03.04
443,World Championship 22th,Moscow RUS,1958.04.03,12,"Botvinnik, Mikhail M","Smyslov, Vassily V",1-0,A12,1958.03.04
444,World Championship 22th,Moscow RUS,1958.04.05,13,"Smyslov, Vassily V","Botvinnik, Mikhail M",1/2-1/2,D47,1958.03.04
445,World Championship 22th,Moscow RUS,1958.04.08,14,"Botvinnik, Mikhail M","Smyslov, Vassily V",1-0,A16,1958.03.04
446,World Championship 22th,Moscow RUS,1958.04.10,15,"Smyslov, Vassily V","Botvinnik, Mikhail M",1-0,B12,1958.03.04
447,World Championship 22th,Moscow RUS,1958.04.15,16,"Botvinnik, Mikhail M","Smyslov, Vassily V",1/2-1/2,A16,1958.03.04
448,World Championship 22th,Moscow RUS,1958.04.17,17,"Smyslov, Vassily V","Botvinnik, Mikhail M",1/2-1/2,B10,1958.03.04
449,World Championship 22th,Moscow RUS,1958.04.19,18,"Botvinnik, Mikhail M","Smyslov, Vassily V",1-0,A16,1958.03.04
450,World Championship 22th,Moscow RUS,1958.04.22,19,"Smyslov, Vassily V","Botvinnik, Mikhail M",1-0,B11,1958.03.04
451,World Championship 22th,Moscow RUS,1958.04.29,20,"Botvinnik, Mikhail M","Smyslov, Vassily V",1/2-1/2,A30,1958.03.04
452,World Championship 22th,Moscow RUS,1958.05.01,21,"Smyslov, Vassily V","Botvinnik, Mikhail M",1/2-1/2,B34,1958.03.04
453,World Championship 22th,Moscow RUS,1958.05.03,22,"Botvinnik, Mikhail M","Smyslov, Vassily V",0-1,A95,1958.03.04
454,World Championship 22th,Moscow RUS,1958.05.08,23,"Smyslov, Vassily V","Botvinnik, Mikhail M",1/2-1/2,A05,1958.03.04
455,World Championship 23th,Moscow RUS,1960.??.??,1,"Tal, Mikhail N","Botvinnik, Mikhail M",1-0,C18,1960.??.??
456,World Championship 23th,Moscow RUS,1960.??.??,2,"Botvinnik, Mikhail M","Tal, Mikhail N",1/2-1/2,A61,1960.??.??
457,World Championship 23th,Moscow RUS,1960.??.??,3,"Tal, Mikhail N","Botvinnik, Mikhail M",1/2-1/2,B11,1960.??.??
458,World Championship 23th,Moscow RUS,1960.??.??,4,"Botvinnik, Mikhail M","Tal, Mikhail N",1/2-1/2,E27,1960.??.??
459,World Championship 23th,Moscow RUS,1960.??.??,5,"Tal, Mikhail N","Botvinnik, Mikhail M",1/2-1/2,B18,1960.??.??
460,World Championship 23th,Moscow RUS,1960.??.??,6,"Botvinnik, Mikhail M","Tal, Mikhail N",0-1,E69,1960.??.??
461,World Championship 23th,Moscow RUS,1960.??.??,7,"Tal, Mikhail N","Botvinnik, Mikhail M",1-0,B18,1960.??.??
462,World Championship 23th,Moscow RUS,1960.??.??,8,"Botvinnik, Mikhail M","Tal, Mikhail N",1-0,A60,1960.??.??
463,World Championship 23th,Moscow RUS,1960.??.??,9,"Tal, Mikhail N","Botvinnik, Mikhail M",0-1,B18,1960.??.??
464,World Championship 23th,Moscow RUS,1960.??.??,10,"Botvinnik, Mikhail M","Tal, Mikhail N",1/2-1/2,E89,1960.??.??
465,World Championship 23th,Moscow RUS,1960.??.??,11,"Tal, Mikhail N","Botvinnik, Mikhail M",1-0,D78,1960.??.??
466,World Championship 23th,Moscow RUS,1960.??.??,12,"Botvinnik, Mikhail M","Tal, Mikhail N",1/2-1/2,D40,1960.??.??
467,World Championship 23th,Moscow RUS,1960.??.??,13,"Tal, Mikhail N","Botvinnik, Mikhail M",1/2-1/2,A30,1960.??.??
468,World Championship 23th,Moscow RUS,1960.??.??,14,"Botvinnik, Mikhail M","Tal, Mikhail N",1/2-1/2,E24,1960.??.??
469,World Championship 23th,Moscow RUS,1960.??.??,15,"Tal, Mikhail N","Botvinnik, Mikhail M",1/2-1/2,B18,1960.??.??
470,World Championship 23th,Moscow RUS,1960.??.??,16,"Botvinnik, Mikhail M","Tal, Mikhail N",1/2-1/2,E24,1960.??.??
471,World Championship 23th,Moscow RUS,1960.??.??,17,"Tal, Mikhail N","Botvinnik, Mikhail M",1-0,B18,1960.??.??
472,World Championship 23th,Moscow RUS,1960.??.??,18,"Botvinnik, Mikhail M","Tal, Mikhail N",1/2-1/2,E24,1960.??.??
473,World Championship 23th,Moscow RUS,1960.??.??,19,"Tal, Mikhail N","Botvinnik, Mikhail M",1-0,A87,1960.??.??
474,World Championship 23th,Moscow RUS,1960.??.??,20,"Botvinnik, Mikhail M","Tal, Mikhail N",1/2-1/2,E24,1960.??.??
475,World Championship 23th,Moscow RUS,1960.??.??,21,"Tal, Mikhail N","Botvinnik, Mikhail M",1/2-1/2,E19,1960.??.??
476,World Championship 24th,Moscow RUS,1961.03.15,1,"Botvinnik, Mikhail M","Tal, Mikhail N",1-0,E51,1961.03.15
477,World Championship 24th,Moscow RUS,1961.03.17,2,"Tal, Mikhail N","Botvinnik, Mikhail M",1-0,B18,1961.03.15
478,World Championship 24th,Moscow RUS,1961.03.20,3,"Botvinnik, Mikhail M","Tal, Mikhail N",1-0,E51,1961.03.15
479,World Championship 24th,Moscow RUS,1961.03.22,4,"Tal, Mikhail N","Botvinnik, Mikhail M",1/2-1/2,B12,1961.03.15
480,World Championship 24th,Moscow RUS,1961.03.24,5,"Botvinnik, Mikhail M","Tal, Mikhail N",1/2-1/2,E51,1961.03.15
481,World Championship 24th,Moscow RUS,1961.03.27,6,"Tal, Mikhail N","Botvinnik, Mikhail M",1/2-1/2,B12,1961.03.15
482,World Championship 24th,Moscow RUS,1961.03.29,7,"Botvinnik, Mikhail M","Tal, Mikhail N",1-0,E24,1961.03.15
483,World Championship 24th,Moscow RUS,1961.03.31,8,"Tal, Mikhail N","Botvinnik, Mikhail M",1-0,B12,1961.03.15
484,World Championship 24th,Moscow RUS,1961.04.07,9,"Botvinnik, Mikhail M","Tal, Mikhail N",1-0,A23,1961.03.15
485,World Championship 24th,Moscow RUS,1961.04.10,10,"Tal, Mikhail N","Botvinnik, Mikhail M",0-1,B12,1961.03.15
486,World Championship 24th,Moscow RUS,1961.04.12,11,"Botvinnik, Mikhail M","Tal, Mikhail N",1-0,D14,1961.03.15
487,World Championship 24th,Moscow RUS,1961.04.14,12,"Tal, Mikhail N","Botvinnik, Mikhail M",1-0,C18,1961.03.15
488,World Championship 24th,Moscow RUS,1961.04.17,13,"Botvinnik, Mikhail M","Tal, Mikhail N",1-0,E85,1961.03.15
489,World Championship 24th,Moscow RUS,1961.04.19,14,"Tal, Mikhail N","Botvinnik, Mikhail M",1/2-1/2,B12,1961.03.15
490,World Championship 24th,Moscow RUS,1961.04.21,15,"Botvinnik, Mikhail M","Tal, Mikhail N",1-0,E81,1961.03.15
491,World Championship 24th,Moscow RUS,1961.04.24,16,"Tal, Mikhail N","Botvinnik, Mikhail M",1/2-1/2,B12,1961.03.15
492,World Championship 24th,Moscow RUS,1961.04.28,17,"Botvinnik, Mikhail M","Tal, Mikhail N",0-1,E81,1961.03.15
493,World Championship 24th,Moscow RUS,1961.05.03,18,"Tal, Mikhail N","Botvinnik, Mikhail M",0-1,B12,1961.03.15
494,World Championship 24th,Moscow RUS,1961.05.05,19,"Botvinnik, Mikhail M","Tal, Mikhail N",0-1,E81,1961.03.15
495,World Championship 24th,Moscow RUS,1961.05.08,20,"Tal, Mikhail N","Botvinnik, Mikhail M",1/2-1/2,B12,1961.03.15
496,World Championship 24th,Moscow RUS,1961.05.12,21,"Botvinnik, Mikhail M","Tal, Mikhail N",1-0,E87,1961.03.15
497,World Championship 25th,Moscow RUS,1963.03.23,1,"Petrosian, Tigran V","Botvinnik, Mikhail M",0-1,E35,1963.03.23
498,World Championship 25th,Moscow RUS,1963.03.25,2,"Botvinnik, Mikhail M","Petrosian, Tigran V",1/2-1/2,D27,1963.03.23
499,World Championship 25th,Moscow RUS,1963.03.27,3,"Petrosian, Tigran V","Botvinnik, Mikhail M",1/2-1/2,E18,1963.03.23
500,World Championship 25th,Moscow RUS,1963.03.30,4,"Botvinnik, Mikhail M","Petrosian, Tigran V",1/2-1/2,A35,1963.03.23
501,World Championship 25th,Moscow RUS,1963.04.01,5,"Petrosian, Tigran V","Botvinnik, Mikhail M",1-0,D94,1963.03.23
502,World Championship 25th,Moscow RUS,1963.04.03,6,"Botvinnik, Mikhail M","Petrosian, Tigran V",1/2-1/2,D27,1963.03.23
503,World Championship 25th,Moscow RUS,1963.04.06,7,"Petrosian, Tigran V","Botvinnik, Mikhail M",1-0,A21,1963.03.23
504,World Championship 25th,Moscow RUS,1963.04.08,8,"Botvinnik, Mikhail M","Petrosian, Tigran V",1/2-1/2,D27,1963.03.23
505,World Championship 25th,Moscow RUS,1963.04.13,9,"Petrosian, Tigran V","Botvinnik, Mikhail M",1/2-1/2,E08,1963.03.23
506,World Championship 25th,Moscow RUS,1963.04.15,10,"Botvinnik, Mikhail M","Petrosian, Tigran V",1/2-1/2,D27,1963.03.23
507,World Championship 25th,Moscow RUS,1963.04.17,11,"Petrosian, Tigran V","Botvinnik, Mikhail M",1/2-1/2,D32,1963.03.23
508,World Championship 25th,Moscow RUS,1963.04.20,12,"Botvinnik, Mikhail M","Petrosian, Tigran V",1/2-1/2,D31,1963.03.23
509,World Championship 25th,Moscow RUS,1963.04.22,13,"Petrosian, Tigran V","Botvinnik, Mikhail M",1/2-1/2,E18,1963.03.23
510,World Championship 25th,Moscow RUS,1963.04.24,14,"Botvinnik, Mikhail M","Petrosian, Tigran V",1-0,D31,1963.03.23
511,World Championship 25th,Moscow RUS,1963.04.29,15,"Petrosian, Tigran V","Botvinnik, Mikhail M",1-0,D97,1963.03.23
512,World Championship 25th,Moscow RUS,1963.05.01,16,"Botvinnik, Mikhail M","Petrosian, Tigran V",1/2-1/2,D27,1963.03.23
513,World Championship 25th,Moscow RUS,1963.05.06,17,"Petrosian, Tigran V","Botvinnik, Mikhail M",1/2-1/2,E14,1963.03.23
514,World Championship 25th,Moscow RUS,1963.05.08,18,"Botvinnik, Mikhail M","Petrosian, Tigran V",0-1,D31,1963.03.23
515,World Championship 25th,Moscow RUS,1963.05.11,19,"Petrosian, Tigran V","Botvinnik, Mikhail M",1-0,E19,1963.03.23
516,World Championship 25th,Moscow RUS,1963.05.15,20,"Botvinnik, Mikhail M","Petrosian, Tigran V",1/2-1/2,D27,1963.03.23
517,World Championship 25th,Moscow RUS,1963.05.18,21,"Petrosian, Tigran V","Botvinnik, Mikhail M",1/2-1/2,A16,1963.03.23
518,World Championship 25th,Moscow RUS,1963.05.20,22,"Botvinnik, Mikhail M","Petrosian, Tigran V",1/2-1/2,D23,1963.03.23
519,World Championship 26th,Moscow RUS,1966.04.11,1,"Spassky, Boris V","Petrosian, Tigran V",1/2-1/2,B19,1966.04.11
520,World Championship 26th,Moscow RUS,1966.04.13,2,"Petrosian, Tigran V","Spassky, Boris V",1/2-1/2,D59,1966.04.11
521,World Championship 26th,Moscow RUS,1966.04.15,3,"Spassky, Boris V","Petrosian, Tigran V",1/2-1/2,D26,1966.04.11
522,World Championship 26th,Moscow RUS,1966.04.18,4,"Petrosian, Tigran V","Spassky, Boris V",1/2-1/2,E08,1966.04.11
523,World Championship 26th,Moscow RUS,1966.04.20,5,"Spassky, Boris V","Petrosian, Tigran V",1/2-1/2,B14,1966.04.11
524,World Championship 26th,Moscow RUS,1966.04.22,6,"Petrosian, Tigran V","Spassky, Boris V",1/2-1/2,D41,1966.04.11
525,World Championship 26th,Moscow RUS,1966.04.25,7,"Spassky, Boris V","Petrosian, Tigran V",0-1,D03,1966.04.11
526,World Championship 26th,Moscow RUS,1966.04.27,8,"Petrosian, Tigran V","Spassky, Boris V",1/2-1/2,A33,1966.04.11
527,World Championship 26th,Moscow RUS,1966.04.29,9,"Spassky, Boris V","Petrosian, Tigran V",1/2-1/2,D42,1966.04.11
528,World Championship 26th,Moscow RUS,1966.05.02,10,"Petrosian, Tigran V","Spassky, Boris V",1-0,E66,1966.04.11
529,World Championship 26th,Moscow RUS,1966.05.04,11,"Spassky, Boris V","Petrosian, Tigran V",1/2-1/2,C10,1966.04.11
530,World Championship 26th,Moscow RUS,1966.05.06,12,"Petrosian, Tigran V","Spassky, Boris V",1/2-1/2,A42,1966.04.11
531,World Championship 26th,Moscow RUS,1966.05.11,13,"Spassky, Boris V","Petrosian, Tigran V",1-0,B19,1966.04.11
532,World Championship 26th,Moscow RUS,1966.05.13,14,"Petrosian, Tigran V","Spassky, Boris V",1/2-1/2,A05,1966.04.11
533,World Championship 26th,Moscow RUS,1966.05.16,15,"Spassky, Boris V","Petrosian, Tigran V",1/2-1/2,B25,1966.04.11
534,World Championship 26th,Moscow RUS,1966.05.18,16,"Petrosian, Tigran V","Spassky, Boris V",1/2-1/2,B06,1966.04.11
535,World Championship 26th,Moscow RUS,1966.05.20,17,"Spassky, Boris V","Petrosian, Tigran V",1/2-1/2,B25,1966.04.11
536,World Championship 26th,Moscow RUS,1966.05.23,18,"Petrosian, Tigran V","Spassky, Boris V",1/2-1/2,E12,1966.04.11
537,World Championship 26th,Moscow RUS,1966.05.27,19,"Spassky, Boris V","Petrosian, Tigran V",1-0,C11,1966.04.11
538,World Championship 26th,Moscow RUS,1966.05.30,20,"Petrosian, Tigran V","Spassky, Boris V",1-0,E59,1966.04.11
539,World Championship 26th,Moscow RUS,1966.06.01,21,"Spassky, Boris V","Petrosian, Tigran V",1/2-1/2,C11,1966.04.11
540,World Championship 26th,Moscow RUS,1966.06.03,22,"Petrosian, Tigran V","Spassky, Boris V",1-0,A40,1966.04.11
541,World Championship 26th,Moscow RUS,1966.06.06,23,"Spassky, Boris V","Petrosian, Tigran V",1-0,C11,1966.04.11
542,World Championship 26th,Moscow RUS,1966.06.08,24,"Petrosian, Tigran V","Spassky, Boris V",1/2-1/2,E61,1966.04.11
543,World Championship 27th,Moscow RUS,1969.04.14,1,"Spassky, Boris V","Petrosian, Tigran V",0-1,B42,1969.04.14
544,World Championship 27th,Moscow RUS,1969.04.16,2,"Petrosian, Tigran V","Spassky, Boris V",1/2-1/2,D34,1969.04.14
545,World Championship 27th,Moscow RUS,1969.04.18,3,"Spassky, Boris V","Petrosian, Tigran V",1/2-1/2,B36,1969.04.14
546,World Championship 27th,Moscow RUS,1969.04.21,4,"Petrosian, Tigran V","Spassky, Boris V",0-1,D34,1969.04.14
547,World Championship 27th,Moscow RUS,1969.04.23,5,"Spassky, Boris V","Petrosian, Tigran V",1-0,D41,1969.04.14
548,World Championship 27th,Moscow RUS,1969.04.25,6,"Petrosian, Tigran V","Spassky, Boris V",1/2-1/2,D56,1969.04.14
549,World Championship 27th,Moscow RUS,1969.04.30,7,"Spassky, Boris V","Petrosian, Tigran V",1/2-1/2,D19,1969.04.14
550,World Championship 27th,Moscow RUS,1969.05.02,8,"Petrosian, Tigran V","Spassky, Boris V",0-1,D37,1969.04.14
551,World Championship 27th,Moscow RUS,1969.05.05,9,"Spassky, Boris V","Petrosian, Tigran V",1/2-1/2,A56,1969.04.14
552,World Championship 27th,Moscow RUS,1969.05.09,10,"Petrosian, Tigran V","Spassky, Boris V",1-0,E48,1969.04.14
553,World Championship 27th,Moscow RUS,1969.05.12,11,"Spassky, Boris V","Petrosian, Tigran V",0-1,E12,1969.04.14
554,World Championship 27th,Moscow RUS,1969.05.14,12,"Petrosian, Tigran V","Spassky, Boris V",1/2-1/2,D34,1969.04.14
555,World Championship 27th,Moscow RUS,1969.05.16,13,"Spassky, Boris V","Petrosian, Tigran V",1/2-1/2,C42,1969.04.14
556,World Championship 27th,Moscow RUS,1969.05.19,14,"Petrosian, Tigran V","Spassky, Boris V",1/2-1/2,D55,1969.04.14
557,World Championship 27th,Moscow RUS,1969.05.21,15,"Spassky, Boris V","Petrosian, Tigran V",1/2-1/2,C42,1969.04.14
558,World Championship 27th,Moscow RUS,1969.05.23,16,"Petrosian, Tigran V","Spassky, Boris V",1/2-1/2,D34,1969.04.14
559,World Championship 27th,Moscow RUS,1969.05.28,17,"Spassky, Boris V","Petrosian, Tigran V",1-0,B42,1969.04.14
560,World Championship 27th,Moscow RUS,1969.06.02,18,"Petrosian, Tigran V","Spassky, Boris V",1/2-1/2,D34,1969.04.14
561,World Championship 27th,Moscow RUS,1969.06.04,19,"Spassky, Boris V","Petrosian, Tigran V",1-0,B94,1969.04.14
562,World Championship 27th,Moscow RUS,1969.06.09,20,"Petrosian, Tigran V","Spassky, Boris V",1-0,D55,1969.04.14
563,World Championship 27th,Moscow RUS,1969.06.11,21,"Spassky, Boris V","Petrosian, Tigran V",1-0,C92,1969.04.14
564,World Championship 27th,Moscow RUS,1969.06.13,22,"Petrosian, Tigran V","Spassky, Boris V",1/2-1/2,D58,1969.04.14
565,World Championship 27th,Moscow RUS,1969.06.16,23,"Spassky, Boris V","Petrosian, Tigran V",1/2-1/2,B48,1969.04.14
566,World Championship 28th,Reykjavik ISL,1972.07.11,1,"Spassky, Boris V","Fischer, Robert J",1-0,E56,1972.07.11
567,World Championship 28th,Reykjavik ISL,1972.07.13,2,"Fischer, Robert J","Spassky, Boris V",0-1,A00,1972.07.11
568,World Championship 28th,Reykjavik ISL,1972.07.16,3,"Spassky, Boris V","Fischer, Robert J",0-1,A77,1972.07.11
569,World Championship 28th,Reykjavik ISL,1972.07.18,4,"Fischer, Robert J","Spassky, Boris V",1/2-1/2,B88,1972.07.11
570,World Championship 28th,Reykjavik ISL,1972.07.20,5,"Spassky, Boris V","Fischer, Robert J",0-1,E41,1972.07.11
571,World Championship 28th,Reykjavik ISL,1972.07.23,6,"Fischer, Robert J","Spassky, Boris V",1-0,D59,1972.07.11
572,World Championship 28th,Reykjavik ISL,1972.07.25,7,"Spassky, Boris V","Fischer, Robert J",1/2-1/2,B97,1972.07.11
573,World Championship 28th,Reykjavik ISL,1972.07.27,8,"Fischer, Robert J","Spassky, Boris V",1-0,A39,1972.07.11
574,World Championship 28th,Reykjavik ISL,1972.08.01,9,"Spassky, Boris V","Fischer, Robert J",1/2-1/2,D41,1972.07.11
575,World Championship 28th,Reykjavik ISL,1972.08.03,10,"Fischer, Robert J","Spassky, Boris V",1-0,C95,1972.07.11
576,World Championship 28th,Reykjavik ISL,1972.08.06,11,"Spassky, Boris V","Fischer, Robert J",1-0,B97,1972.07.11
577,World Championship 28th,Reykjavik ISL,1972.08.08,12,"Fischer, Robert J","Spassky, Boris V",1/2-1/2,D66,1972.07.11
578,World Championship 28th,Reykjavik ISL,1972.08.10,13,"Spassky, Boris V","Fischer, Robert J",0-1,B04,1972.07.11
579,World Championship 28th,Reykjavik ISL,1972.08.15,14,"Fischer, Robert J","Spassky, Boris V",1/2-1/2,D37,1972.07.11
580,World Championship 28th,Reykjavik ISL,1972.08.17,15,"Spassky, Boris V","Fischer, Robert J",1/2-1/2,B99,1972.07.11
581,World Championship 28th,Reykjavik ISL,1972.08.20,16,"Fischer, Robert J","Spassky, Boris V",1/2-1/2,C69,1972.07.11
582,World Championship 28th,Reykjavik ISL,1972.08.22,17,"Spassky, Boris V","Fischer, Robert J",1/2-1/2,B09,1972.07.11
583,World Championship 28th,Reykjavik ISL,1972.08.24,18,"Fischer, Robert J","Spassky, Boris V",1/2-1/2,B69,1972.07.11
584,World Championship 28th,Reykjavik ISL,1972.08.27,19,"Spassky, Boris V","Fischer, Robert J",1/2-1/2,B05,1972.07.11
585,World Championship 28th,Reykjavik ISL,1972.08.29,20,"Fischer, Robert J","Spassky, Boris V",1/2-1/2,B68,1972.07.11
586,World Championship 28th,Reykjavik ISL,1972.08.31,21,"Spassky, Boris V","Fischer, Robert J",0-1,B46,1972.07.11
587,World Championship 29th,Baguio City PHI,1978.07.18,1,"Korchnoi, Viktor L","Karpov, Anatoly",1/2-1/2,D58,1978.07.??
588,World Championship 29th,Baguio City PHI,1978.07.20,2,"Karpov, Anatoly","Korchnoi, Viktor L",1/2-1/2,C82,1978.07.??
589,World Championship 29th,Baguio City PHI,1978.07.22,3,"Korchnoi, Viktor L","Karpov, Anatoly",1/2-1/2,E42,1978.07.??
590,World Championship 29th,Baguio City PHI,1978.07.25,4,"Karpov, Anatoly","Korchnoi, Viktor L",1/2-1/2,C82,1978.07.??
591,World Championship 29th,Baguio City PHI,1978.07.27,5,"Korchnoi, Viktor L","Karpov, Anatoly",1/2-1/2,E42,1978.07.??
592,World Championship 29th,Baguio City PHI,1978.07.29,6,"Karpov, Anatoly","Korchnoi, Viktor L",1/2-1/2,A29,1978.07.??
593,World Championship 29th,Baguio City PHI,1978.08.01,7,"Korchnoi, Viktor L","Karpov, Anatoly",1/2-1/2,E47,1978.07.??
594,World Championship 29th,Baguio City PHI,1978.08.03,8,"Karpov, Anatoly","Korchnoi, Viktor L",1-0,C80,1978.07.??
595,World Championship 29th,Baguio City PHI,1978.08.05,9,"Korchnoi, Viktor L","Karpov, Anatoly",1/2-1/2,D37,1978.07.??
596,World Championship 29th,Baguio City PHI,1978.08.08,10,"Karpov, Anatoly","Korchnoi, Viktor L",1/2-1/2,C80,1978.07.??
597,World Championship 29th,Baguio City PHI,1978.08.10,11,"Korchnoi, Viktor L","Karpov, Anatoly",1-0,B20,1978.07.??
598,World Championship 29th,Baguio City PHI,1978.08.15,12,"Karpov, Anatoly","Korchnoi, Viktor L",1/2-1/2,C81,1978.07.??
599,World Championship 29th,Baguio City PHI,1978.08.17,13,"Korchnoi, Viktor L","Karpov, Anatoly",0-1,D53,1978.07.??
600,World Championship 29th,Baguio City PHI,1978.08.19,14,"Karpov, Anatoly","Korchnoi, Viktor L",1-0,C82,1978.07.??
601,World Championship 29th,Baguio City PHI,1978.08.22,15,"Korchnoi, Viktor L","Karpov, Anatoly",1/2-1/2,E05,1978.07.??
602,World Championship 29th,Baguio City PHI,1978.08.24,16,"Karpov, Anatoly","Korchnoi, Viktor L",1/2-1/2,C08,1978.07.??
603,World Championship 29th,Baguio City PHI,1978.08.26,17,"Korchnoi, Viktor L","Karpov, Anatoly",0-1,E47,1978.07.??
604,World Championship 29th,Baguio City PHI,1978.09.02,18,"Karpov, Anatoly","Korchnoi, Viktor L",1/2-1/2,B08,1978.07.??
605,World Championship 29th,Baguio City PHI,1978.09.07,19,"Korchnoi, Viktor L","Karpov, Anatoly",1/2-1/2,E06,1978.07.??
606,World Championship 29th,Baguio City PHI,1978.09.09,20,"Karpov, Anatoly","Korchnoi, Viktor L",1/2-1/2,B15,1978.07.??
607,World Championship 29th,Baguio City PHI,1978.09.12,21,"Korchnoi, Viktor L","Karpov, Anatoly",1-0,D37,1978.07.??
608,World Championship 29th,Baguio City PHI,1978.09.14,22,"Karpov, Anatoly","Korchnoi, Viktor L",1/2-1/2,C08,1978.07.??
609,World Championship 29th,Baguio City PHI,1978.09.16,23,"Korchnoi, Viktor L","Karpov, Anatoly",1/2-1/2,D37,1978.07.??
610,World Championship 29th,Baguio City PHI,1978.09.19,24,"Karpov, Anatoly","Korchnoi, Viktor L",1/2-1/2,C83,1978.07.??
611,World Championship 29th,Baguio City PHI,1978.09.23,25,"Korchnoi, Viktor L","Karpov, Anatoly",1/2-1/2,A22,1978.07.??
612,World Championship 29th,Baguio City PHI,1978.09.26,26,"Karpov, Anatoly","Korchnoi, Viktor L",1/2-1/2,A21,1978.07.??
613,World Championship 29th,Baguio City PHI,1978.09.28,27,"Korchnoi, Viktor L","Karpov, Anatoly",0-1,A29,1978.07.??
614,World Championship 29th,Baguio City PHI,1978.09.30,28,"Karpov, Anatoly","Korchnoi, Viktor L",0-1,C82,1978.07.??
615,World Championship 29th,Baguio City PHI,1978.10.07,29,"Korchnoi, Viktor L","Karpov, Anatoly",1-0,A19,1978.07.??
616,World Championship 29th,Baguio City PHI,1978.10.10,30,"Karpov, Anatoly","Korchnoi, Viktor L",1/2-1/2,A34,1978.07.??
617,World Championship 29th,Baguio City PHI,1978.10.12,31,"Korchnoi, Viktor L","Karpov, Anatoly",1-0,D36,1978.07.??
618,World Championship 29th,Baguio City PHI,1978.10.17,32,"Karpov, Anatoly","Korchnoi, Viktor L",1-0,A43,1978.07.??
619,World Championship 30th,Meran ITA,1981.10.01,1,"Korchnoi, Viktor L","Karpov, Anatoly",0-1,D58,1981.10.??
620,World Championship 30th,Meran ITA,1981.10.03,2,"Karpov, Anatoly","Korchnoi, Viktor L",1-0,C67,1981.10.??
621,World Championship 30th,Meran ITA,1981.10.05,3,"Korchnoi, Viktor L","Karpov, Anatoly",1/2-1/2,D58,1981.10.??
622,World Championship 30th,Meran ITA,1981.10.08,4,"Karpov, Anatoly","Korchnoi, Viktor L",1-0,C42,1981.10.??
623,World Championship 30th,Meran ITA,1981.10.12,5,"Korchnoi, Viktor L","Karpov, Anatoly",1/2-1/2,D53,1981.10.??
624,World Championship 30th,Meran ITA,1981.10.15,6,"Karpov, Anatoly","Korchnoi, Viktor L",0-1,C82,1981.10.??
625,World Championship 30th,Meran ITA,1981.10.17,7,"Korchnoi, Viktor L","Karpov, Anatoly",1-0,D53,1981.10.??
