,Event,Site,Date,Round,White,Black,Result,ECO,EventDate
103,World Championship 7th,USA,1907.02.09,6,"Lasker, Emanuel","Marshall, Frank J",1/2-1/2,C12,1907.01.26
104,World Championship 7th,USA,1907.02.16,7,"Marshall, Frank J","Lasker, Emanuel",1/2-1/2,D32,1907.01.26
105,World Championship 7th,USA,1907.02.19,8,"Lasker, Emanuel","Marshall, Frank J",1-0,C12,1907.01.26
106,World Championship 7th,USA,1907.03.02,9,"Marshall, Frank J","Lasker, Emanuel",1/2-1/2,D32,1907.01.26
107,World Championship 7th,USA,1907.03.08,10,"Lasker, Emanuel","Marshall, Frank J",1/2-1/2,C12,1907.01.26
108,World Championship 7th,USA,1907.03.16,11,"Marshall, Frank J","Lasker, Emanuel",1/2-1/2,A83,1907.01.26
109,World Championship 7th,USA,1907.03.19,12,"Lasker, Emanuel","Marshall, Frank J",1-0,C11,1907.01.26
110,World Championship 7th,USA,1907.03.21,13,"Marshall, Frank J","Lasker, Emanuel",0-1,D07,1907.01.26
111,World Championship 7th,USA,1907.03.23,14,"Lasker, Emanuel","Marshall, Frank J",1-0,C11,1907.01.26
112,World Championship 7th,USA,1907.04.06,15,"Marshall, Frank J","Lasker, Emanuel",0-1,D53,1907.01.26
113,World Championship 8th,GER,1908.08.17,1,"Lasker, Emanuel","Tarrasch, Siegbert",1-0,C68,1908.08.17
114,World Championship 8th,GER,1908.08.19,2,"Tarrasch, Siegbert","Lasker, Emanuel",0-1,C66,1908.08.17
115,World Championship 8th,GER,1908.08.22,3,"Lasker, Emanuel","Tarrasch, Siegbert",0-1,C98,1908.08.17
116,World Championship 8th,GER,1908.08.24,4,"Tarrasch, Siegbert","Lasker, Emanuel",0-1,C66,1908.08.17
117,World Championship 8th,GER,1908.09.01,5,"Lasker, Emanuel","Tarrasch, Siegbert",1-0,C98,1908.08.17
118,World Championship 8th,GER,1908.09.02,6,"Tarrasch, Siegbert","Lasker, Emanuel",1/2-1/2,C10,1908.08.17
119,World Championship 8th,GER,1908.09.05,7,"Lasker, Emanuel","Tarrasch, Siegbert",1-0,C15,1908.08.17
120,World Championship 8th,GER,1908.09.09,8,"Tarrasch, Siegbert","Lasker, Emanuel",1/2-1/2,C67,1908.08.17
121,World Championship 8th,GER,1908.09.11,9,"Lasker, Emanuel","Tarrasch, Siegbert",1/2-1/2,C15,1908.08.17
122,World Championship 8th,GER,1908.09.14,10,"Tarrasch, Siegbert","Lasker, Emanuel",1-0,C67,1908.08.17
